src,dst,proto,size,sport,dport
10.1.17.2,10.1.17.215,6,60,389.0,50097.0
10.1.17.215,10.1.17.2,6,60,50094.0,135.0
10.1.17.215,10.1.17.2,6,60,50095.0,49668.0
10.1.17.215,20.10.31.115,6,307,50088.0,443.0
20.10.31.115,10.1.17.215,6,232,443.0,50088.0
10.1.17.215,10.1.17.255,17,240,138.0,138.0
10.1.17.215,20.10.31.115,6,60,50088.0,443.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.2,10.1.17.215,17,104,137.0,137.0
10.1.17.215,10.1.17.2,17,75,53533.0,53.0
10.1.17.2,10.1.17.215,17,150,53.0,53533.0
10.1.17.215,204.79.197.203,6,66,50099.0,443.0
204.79.197.203,10.1.17.215,6,66,443.0,50099.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
10.1.17.215,204.79.197.203,6,508,50099.0,443.0
204.79.197.203,10.1.17.215,6,60,443.0,50099.0
204.79.197.203,10.1.17.215,6,1430,443.0,50099.0
204.79.197.203,10.1.17.215,6,1430,443.0,50099.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
204.79.197.203,10.1.17.215,6,1430,443.0,50099.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
204.79.197.203,10.1.17.215,6,123,443.0,50099.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
10.1.17.215,204.79.197.203,6,134,50099.0,443.0
10.1.17.215,204.79.197.203,6,134,50099.0,443.0
10.1.17.215,204.79.197.203,6,258,50099.0,443.0
10.1.17.215,10.1.17.2,17,86,53533.0,53.0
204.79.197.203,10.1.17.215,6,60,443.0,50099.0
204.79.197.203,10.1.17.215,6,513,443.0,50099.0
204.79.197.203,10.1.17.215,6,116,443.0,50099.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
10.1.17.215,204.79.197.203,6,85,50099.0,443.0
204.79.197.203,10.1.17.215,6,85,443.0,50099.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
10.1.17.2,10.1.17.215,17,236,53.0,53533.0
10.1.17.215,52.109.20.38,6,66,50100.0,443.0
204.79.197.203,10.1.17.215,6,895,443.0,50099.0
52.109.20.38,10.1.17.215,6,66,443.0,50100.0
10.1.17.215,204.79.197.203,6,60,50099.0,443.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
10.1.17.215,52.109.20.38,6,519,50100.0,443.0
10.1.17.215,10.1.17.2,17,71,53533.0,53.0
10.1.17.2,10.1.17.215,17,146,53.0,53533.0
10.1.17.215,204.79.197.203,6,66,50101.0,443.0
204.79.197.203,10.1.17.215,6,66,443.0,50101.0
10.1.17.215,204.79.197.203,6,60,50101.0,443.0
52.109.20.38,10.1.17.215,6,1430,443.0,50100.0
52.109.20.38,10.1.17.215,6,1430,443.0,50100.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
52.109.20.38,10.1.17.215,6,1430,443.0,50100.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
52.109.20.38,10.1.17.215,6,300,443.0,50100.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
10.1.17.215,52.109.20.38,6,60,50100.0,443.0
10.1.17.215,204.79.197.203,6,504,50101.0,443.0
10.1.17.215,52.109.20.38,6,212,50100.0,443.0
10.1.17.215,52.109.20.38,6,141,50100.0,443.0
52.109.20.38,10.1.17.215,6,60,443.0,50100.0
52.109.20.38,10.1.17.215,6,105,443.0,50100.0
52.109.20.38,10.1.17.215,6,116,443.0,50100.0
52.109.20.38,10.1.17.215,6,96,443.0,50100.0
